iter	Passed	Remaining
799	3898	974
800	3903	969
801	3908	964
802	3913	960
803	3918	955
804	3923	950
805	3928	945
806	3933	940
807	3938	935
808	3942	930
809	3947	926
810	3952	921
811	3957	916
812	3962	911
813	3967	906
814	3972	901
815	3976	896
816	3981	891
817	3986	886
818	3991	882
819	3995	877
820	4000	872
821	4005	867
822	4009	862
823	4015	857
824	4019	852
825	4024	847
826	4029	842
827	4033	837
828	4038	833
829	4043	828
830	4048	823
831	4053	818
832	4058	813
833	4063	808
834	4068	803
835	4073	799
836	4078	794
837	4083	789
838	4088	784
839	4093	779
840	4098	774
841	4103	770
842	4108	765
843	4114	760
844	4119	755
845	4124	750
846	4129	745
847	4133	740
848	4138	736
849	4143	731
850	4148	726
851	4153	721
852	4158	716
853	4163	711
854	4168	706
855	4172	701
856	4177	697
857	4182	692
858	4187	687
859	4192	682
860	4197	677
861	4202	672
862	4207	667
863	4212	663
864	4217	658
865	4222	653
866	4227	648
867	4231	643
868	4236	638
869	4241	633
870	4246	628
871	4251	624
872	4256	619
873	4261	614
874	4265	609
875	4270	604
876	4275	599
877	4281	594
878	4286	590
879	4292	585
880	4297	580
881	4302	575
882	4307	570
883	4311	565
884	4316	560
885	4321	555
886	4325	551
887	4330	546
888	4335	541
889	4340	536
890	4344	531
891	4349	526
892	4354	521
893	4359	516
894	4363	511
895	4368	507
896	4373	502
897	4378	497
898	4382	492
899	4387	487
900	4392	482
901	4396	477
902	4402	472
903	4406	467
904	4411	463
905	4416	458
906	4421	453
907	4425	448
908	4430	443
909	4435	438
910	4440	433
911	4445	428
912	4450	424
913	4454	419
914	4459	414
915	4464	409
916	4469	404
917	4473	399
918	4478	394
919	4483	389
920	4488	384
921	4493	380
922	4497	375
923	4502	370
924	4507	365
925	4514	360
926	4519	355
927	4524	351
928	4529	346
929	4534	341
930	4538	336
931	4543	331
932	4549	326
933	4554	321
934	4560	317
935	4565	312
936	4569	307
937	4575	302
938	4580	297
939	4584	292
940	4589	287
941	4594	282
942	4599	278
943	4604	273
944	4608	268
945	4613	263
946	4618	258
947	4626	253
948	4633	249
949	4638	244
950	4643	239
951	4648	234
952	4653	229
953	4657	224
954	4662	219
955	4667	214
956	4672	209
957	4677	205
958	4681	200
959	4686	195
960	4691	190
961	4696	185
962	4700	180
963	4705	175
964	4710	170
965	4715	165
966	4720	161
967	4724	156
968	4729	151
969	4734	146
970	4739	141
971	4743	136
972	4748	131
973	4753	126
974	4758	122
975	4762	117
976	4767	112
977	4772	107
978	4777	102
979	4781	97
980	4786	92
981	4791	87
982	4796	82
983	4801	78
984	4806	73
985	4812	68
986	4818	63
